Title,Price,Link,Image Link,Scraped Date
Gengar No.094 Fossil 1997 Holo Rare Vintage Old Back Japanese Pokemon Card Mp,$28.53,https://www.ebay.com/itm/376309295603,https://i.ebayimg.com/images/g/XRAAAOSwXCNoP-Cb/s-l140.jpg,2025-07-07
Gengar No. 094 Holo Rare Fossil Japanese Pokémon Tcg Played,$19.33,https://www.ebay.com/itm/376381862872,https://i.ebayimg.com/images/g/dU0AAeSwLqFoZTqp/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular Non Holo Rare Lightly Played Ungraded,$0.99,https://www.ebay.com/itm/167628337937,https://i.ebayimg.com/images/g/XIAAAeSwzxBoaH9t/s-l140.jpg,2025-07-07
Gengar Mystery Of The Fossils Holo (Japanese) *Swirl* - Pokémon Card,$44.99,https://www.ebay.com/itm/157148173131,https://i.ebayimg.com/images/g/l5kAAeSwyU1oaIjC/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular,$12.00,https://www.ebay.com/itm/357222455315,https://i.ebayimg.com/images/g/dNYAAeSwMphoZ27r/s-l140.jpg,2025-07-07
Pokemon Gengar 20/62 1St Edition Rare Non Holo (1999 Fossil),$39.99,https://www.ebay.com/itm/205535663563,https://i.ebayimg.com/images/g/sRsAAOSwJ3NoQMzr/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Unlimited Pokemon Card Regular Rare Moderately Played Mp +,$11.93,https://www.ebay.com/itm/127207780797,https://i.ebayimg.com/images/g/0qoAAeSwu-FoY7GG/s-l140.jpg,2025-07-07
Gengar Rare 20/62 - Fossil - Near Mint,$14.99,https://www.ebay.com/itm/116664335465,https://i.ebayimg.com/images/g/JAAAAeSwC-5oWOLy/s-l140.jpg,2025-07-07
Pokemon Rare Gengar Fossil 20/62 Non Holo - Heavily Played (Hp),$4.49,https://www.ebay.com/itm/297450218696,https://i.ebayimg.com/images/g/cc0AAeSwPM5oZ6ll/s-l140.jpg,2025-07-07
Pokémon Tcg Japanese Gengar Fossil Holographic Rare,$18.28,https://www.ebay.com/itm/136099707084,https://i.ebayimg.com/images/g/AaoAAeSw4g1oWKAC/s-l140.jpg,2025-07-07
Gengar - Mystery Of The Fossils - Nm Jp Japanese Holofoil 94 - Pokemon Card,$20.50,https://www.ebay.com/itm/317046807682,https://i.ebayimg.com/images/g/X8UAAeSw72doZGiH/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Unlimited Regular Rare Nm,$16.00,https://www.ebay.com/itm/267315947477,https://i.ebayimg.com/images/g/pysAAeSwNcJoazHl/s-l140.jpg,2025-07-07
Pokémon Tcg Gengar Fossil 20/62 Regular 1999-2000 Wotc Nm,$9.99,https://www.ebay.com/itm/167630321443,https://i.ebayimg.com/images/g/-4EAAeSweANoaeoa/s-l140.jpg,2025-07-07
Gengar No.094 Fossil Swirl Holo Rare  Old Back Japanese Pokemon Card Game 1997,$42.22,https://www.ebay.com/itm/388662922689,https://i.ebayimg.com/images/g/jBoAAOSwv4BoM9YL/s-l140.jpg,2025-07-07
Gengar 20/62 - Fossil - Regular (Non Holo) - Pokemon Tcg,$6.99,https://www.ebay.com/itm/406012980297,https://i.ebayimg.com/images/g/CA8AAeSwMHxoZFSa/s-l140.jpg,2025-07-07
Gengar Fossil 20/62 Pokemon Tcg Non Holo Rare Wotc Vintage 1999 Lp/Nm,$16.99,https://www.ebay.com/itm/297433876505,https://i.ebayimg.com/images/g/agIAAOSwuqFoWyur/s-l140.jpg,2025-07-07
Gengar  Holo 3Set Fossil Base Set 092 093 094 Japanese Pokemon Card #2505310011,$87.97,https://www.ebay.com/itm/357029861459,https://i.ebayimg.com/images/g/4Y0AAeSw~ZFoPuMz/s-l140.jpg,2025-07-07
Pokemon Card Gengar Fossil 1St Edition Rare 20/62 Nm/Lp,$42.00,https://www.ebay.com/itm/177218660700,https://i.ebayimg.com/images/g/upMAAeSwPAJoWeDG/s-l140.jpg,2025-07-07
Gengar No. 094 Swirl Holo Rare Fossil Japanese Pokémon Tcg,$24.99,https://www.ebay.com/itm/357079438660,https://i.ebayimg.com/images/g/b8YAAeSwJRJoSLUc/s-l140.jpg,2025-07-07
Gengar - 20/62 - Pokemon Fossil Unlimited Rare Card,$1.79,https://www.ebay.com/itm/167622306722,https://i.ebayimg.com/images/g/XdQAAOSw7jJlaRG2/s-l140.jpg,2025-07-07
Gengar 20/62  Fossil Rare Non-Holo Vintage Pokemon Tcg Card,$14.99,https://www.ebay.com/itm/267310676412,https://i.ebayimg.com/images/g/ACgAAeSwHnVoZTwN/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil-Unlimited Edition Regular,$7.00,https://www.ebay.com/itm/405803309737,https://i.ebayimg.com/images/g/shsAAeSwdR9oCWtN/s-l140.jpg,2025-07-07
Pokémon Gengar Tcg #094 Japanese Fossil Unlimited Holo Card Near Mint Condition,$19.99,https://www.ebay.com/itm/157144909477,https://i.ebayimg.com/images/g/JdUAAeSwrF5oZsBY/s-l140.jpg,2025-07-07
Gengar 20/62 1St Edition Fossil Regular,$42.99,https://www.ebay.com/itm/297375379659,https://i.ebayimg.com/images/g/2rEAAOSwtVBoP-SX/s-l140.jpg,2025-07-07
Gengar Fossil 20/62 Pokemon Tcg Non Holo Rare Wotc Vintage 1999 Lp/Nm,$19.99,https://www.ebay.com/itm/388666087999,https://i.ebayimg.com/images/g/~8YAAeSwpqBoZzox/s-l140.jpg,2025-07-07
Gengar Holo No. 094 Fossil Set Japanese Pokemon Card Nintendo From Japan,$47.98,https://www.ebay.com/itm/365661124100,https://i.ebayimg.com/images/g/TMoAAOSwYddoRpum/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular,$14.99,https://www.ebay.com/itm/167623846550,https://i.ebayimg.com/images/g/qp0AAeSw6aZoZZBg/s-l140.jpg,2025-07-07
Gengar  👻 Fossil No.094 Holo Rare Japanese Pokemon Card Game,$45.00,https://www.ebay.com/itm/267314595930,https://i.ebayimg.com/images/g/~0QAAeSwLBRoaY-A/s-l140.jpg,2025-07-07
1St Edition Gengar Non Holo 20/62 1999 Vintage Pokémon Fossil Tcg Vlp Wotc Era,$60.00,https://www.ebay.com/itm/365714843428,https://i.ebayimg.com/images/g/VmQAAeSwCdVoaxes/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Unlimited Regular Pokémon Card   Lp,$12.00,https://www.ebay.com/itm/157147496849,https://i.ebayimg.com/images/g/nUwAAeSwDshoaCxW/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular,$8.49,https://www.ebay.com/itm/316978820970,https://i.ebayimg.com/images/g/AnkAAeSwlDFoS0-r/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil Regular - 1St Edition,$33.33,https://www.ebay.com/itm/156628736971,https://i.ebayimg.com/images/g/-wMAAOSwWdJngHk4/s-l140.jpg,2025-07-07
Gengar 20/62 Fossil-1St Edition Non Holo Hp,$29.99,https://www.ebay.com/itm/187233522961,https://i.ebayimg.com/images/g/qeYAAeSwnotoKicF/s-l140.jpg,2025-07-07
Pokémon Tcg Mystery Of The Fossils Gengar #094 Holo  Japanese . Read Desc.,$60.00,https://www.ebay.com/itm/127152151349,https://i.ebayimg.com/images/g/3KAAAeSwIPRoPnol/s-l140.jpg,2025-07-07
Pokemon Tcg Fossil Gengar 20/62 1St Edition Non-Holo Rare Card,$23.99,https://www.ebay.com/itm/116678074201,https://i.ebayimg.com/images/g/tM8AAeSwk9loZx8p/s-l140.jpg,2025-07-07
[Mp] Gengar Fossil 20/62 Pokemon Tcg Non Holo Rare Wotc Vintage 1999,$12.00,https://www.ebay.com/itm/116620640118,https://i.ebayimg.com/images/g/8jwAAeSwJZNoNbqz/s-l140.jpg,2025-07-07
1997 Pokemon Gengar #094 Fossil - Galaxy Star Holo Rare Vintage Japanese,$28.00,https://www.ebay.com/itm/306373177371,https://i.ebayimg.com/images/g/h-wAAOSwAuVoU5JQ/s-l140.jpg,2025-07-07
